E      ; sig
1160.211 ; 4.979957
1161.368 ; 4.913999
1162.525 ; 4.847877
1163.682 ; 4.779981
1164.838 ; 4.708835
1165.995 ; 4.632713
1166.574 ; 4.592229
1167.152 ; 4.549916
1167.731 ; 4.505397
1168.309 ; 4.458582
1168.887 ; 4.409079
1169.465 ; 4.356518
1170.044 ; 4.300499
1170.622 ; 4.24101
1171.201 ; 4.177756
1171.779 ; 4.111115
1172.069 ; 4.076543
1172.358 ; 4.041535
1172.647 ; 4.006226
1172.936 ; 3.971
1173.226 ; 3.936313
1173.515 ; 3.903266
1173.804 ; 3.873029
1174.093 ; 3.84755
1174.325 ; 3.83251
1174.556 ; 3.824739
1174.787 ; 3.827478
1175.018 ; 3.845742
1175.25 ; 3.887664
1175.481 ; 3.965966
1175.597 ; 4.025611
1175.713 ; 4.104215
1175.829 ; 4.207631
1175.944 ; 4.34249
1176.06 ; 4.521919
1176.176 ; 4.759634
1176.292 ; 5.075498
1176.407 ; 5.491812
1176.523 ; 6.050234
1176.638 ; 6.784838
1176.754 ; 7.763868
1176.812 ; 8.363782
1176.869 ; 9.037349
1176.931 ; 9.876214
1176.992 ; 10.82246
1177.054 ; 11.92133
1177.115 ; 13.15191
1177.177 ; 14.56974
1177.238 ; 16.14408
1177.3 ; 17.9416
1177.361 ; 19.91841
1177.423 ; 22.15261
1177.484 ; 24.58353
1177.607 ; 30.22197
1177.73 ; 36.87249
1177.852 ; 44.44598
1177.997 ; 54.57105
1178.142 ; 65.60371
1178.431 ; 88.18177
1178.593 ; 99.53583
1178.755 ; 108.6576
1178.878 ; 113.5429
1179.0 ; 116.3415
1179.036 ; 116.7536
1179.146 ; 116.8235
1179.256 ; 115.1334
1179.366 ; 111.7989
1179.475 ; 107.064
1179.6 ; 100.2052
1179.724 ; 92.30442
1179.973 ; 74.92033
1180.184 ; 60.52881
1180.29 ; 53.90353
1180.395 ; 47.8865
1180.501 ; 42.42075
1180.606 ; 37.62939
1180.712 ; 33.41097
1180.817 ; 29.81234
1180.923 ; 26.71624
1181.029 ; 24.10157
1181.135 ; 21.90676
1181.24 ; 20.0869
1181.346 ; 18.55086
1181.451 ; 17.27735
1181.557 ; 16.19768
1181.662 ; 15.29488
1181.768 ; 14.52027
1181.873 ; 13.86299
1181.979 ; 13.28969
1182.084 ; 12.79472
1182.19 ; 12.3554
1182.295 ; 11.96965
1182.506 ; 11.31187
1182.708 ; 10.79432
1182.909 ; 10.36048
1183.111 ; 9.987357
1183.312 ; 9.665575
1183.514 ; 9.382331
1183.715 ; 9.133281
1183.916 ; 8.911469
1184.117 ; 8.712621
1184.52 ; 8.370071
1184.923 ; 8.086359
1185.326 ; 7.847557
1185.728 ; 7.644246
1186.131 ; 7.468135
